year,class,total_area_ha
1721,bosquet,6.089864295432325
1721,champ,265.0647711593677
1721,foret,8.663288777553142
1721,jardin,20.8825658078397
1721,pre,254.22561459931734
1721,vigne,290.30825110299236
1831,bosquet,5.816030779748377
1831,champ,246.91050297332285
1831,foret,37.55997681377862
1831,jardin,47.92245143175293
1831,pre,401.68619153796203
1831,vigne,205.27716831927958
1888,bosquet,0.44888359620142404
1888,champ,138.09559740138357
1888,foret,55.521297136017274
1888,jardin,67.57008423114982
1888,pre,412.23397980536777
1888,vigne,153.30330384950946
2024,foret,47.66542435590087
2024,jardin,424.0887377227396
2024,pre,9.620033831764335
2024,vigne,0.1644423232589514
